Source,CH4
Second,Volt
-0.00016200000,0.00
-0.00016196000,0.00
-0.00016192000,0.00
-0.00016188000,0.00
-0.00016184000,-0.00040
-0.00016180000,-0.00040
-0.00016175998,-0.00080
-0.00016172000,-0.00080
-0.00016168000,0.00
-0.00016164000,-0.00040
-0.00016160000,-0.00080
-0.00016156000,-0.00040
-0.00016152000,-0.00080
-0.00016148000,-0.00080
-0.00016144000,-0.00120
-0.00016139998,-0.00120
-0.00016136000,-0.00080
-0.00016132000,-0.00120
-0.00016128000,-0.00120
-0.00016124000,-0.00080
-0.00016120000,-0.00040
-0.00016116000,-0.00080
-0.00016112000,-0.00080
-0.00016108000,-0.00080
-0.00016104000,-0.00120
-0.00016100000,-0.00080
-0.00016096000,-0.00120
-0.00016092000,-0.00080
-0.00016088000,-0.00080
-0.00016084000,-0.00120
-0.00016080000,-0.00080
-0.00016076000,-0.00040
-0.00016072000,-0.00080
-0.00016068000,-0.00080
-0.00016064000,0.00
-0.00016060000,-0.00080
-0.00016056000,-0.00080
-0.00016052000,-0.00040
-0.00016048000,-0.00040
-0.00016044000,-0.00040
-0.00016040000,-0.00040
-0.00016036000,0.00
-0.00016032000,0.00
-0.00016028000,-0.00040
-0.00016024000,-0.00040
-0.00016020000,-0.00040
-0.00016016000,-0.00040
-0.00016012000,0.00
-0.00016008000,-0.00040
-0.00016004000,0.00040
-0.00016000000,0.00
-0.00015996000,0.00
-0.00015992000,0.00
-0.00015988000,0.00
-0.00015984000,0.00
-0.00015980000,0.00
-0.00015976000,0.00
-0.00015972000,-0.00040
-0.00015968000,-0.00040
-0.00015964000,-0.00040
-0.00015960000,-0.00040
-0.00015956000,-0.00040
-0.00015952000,-0.00040
-0.00015948000,-0.00040
-0.00015944000,-0.00040
-0.00015940000,-0.00040
-0.00015936000,0.00
-0.00015932000,0.00
-0.00015928000,-0.00080
-0.00015924000,-0.00040
-0.00015920000,-0.00040
-0.00015916000,-0.00040
-0.00015912000,0.00
-0.00015908000,0.00
-0.00015904000,-0.00040
-0.00015900000,0.00
-0.00015896000,0.00040
-0.00015892000,-0.00040
-0.00015888000,-0.00040
-0.00015884000,-0.00040
-0.00015880000,-0.00040
-0.00015876000,-0.00040
-0.00015872000,-0.00040
-0.00015868000,-0.00080
-0.00015864000,-0.00040
-0.00015860000,-0.00080
-0.00015856000,0.00
-0.00015852000,-0.00040
-0.00015848000,0.00
-0.00015844000,-0.00040
-0.00015840000,0.00040
-0.00015836000,0.00040
-0.00015831998,0.00040
-0.00015828000,0.00
-0.00015824000,0.00040
-0.00015820000,-0.00040
-0.00015816000,0.00040
-0.00015812000,0.00
-0.00015808000,0.00
-0.00015804000,0.00
-0.00015800000,-0.00040
-0.00015795998,0.00
-0.00015792000,0.00
-0.00015788000,0.00
-0.00015784000,0.00
-0.00015780000,0.00
-0.00015776000,-0.00040
-0.00015772000,-0.00040
-0.00015768000,-0.00040
-0.00015764000,-0.00080
-0.00015760000,-0.00080
-0.00015756000,-0.00040
-0.00015752000,-0.00080
-0.00015748000,-0.00040
-0.00015744000,-0.00040
-0.00015740000,-0.00040
-0.00015736000,-0.00040
-0.00015732000,-0.00080
-0.00015728000,-0.00040
-0.00015724000,0.00
-0.00015720000,-0.00040
-0.00015716000,-0.00080
-0.00015712000,0.00
-0.00015708000,0.00
-0.00015704000,0.00
-0.00015700000,-0.00040
-0.00015696000,-0.00040
-0.00015692000,0.00
-0.00015688000,-0.00040
-0.00015684000,-0.00040
-0.00015680000,0.00
-0.00015676000,0.00
-0.00015672000,-0.00040
-0.00015668000,0.00
-0.00015664000,0.00
-0.00015660000,-0.00080
-0.00015656000,0.00
-0.00015652000,-0.00040
-0.00015648000,-0.00040
-0.00015644000,-0.00080
-0.00015640000,-0.00040
-0.00015636000,-0.00040
-0.00015632000,-0.00040
-0.00015628000,-0.00040
-0.00015624000,-0.00040
-0.00015620000,-0.00040
-0.00015616000,-0.00040
-0.00015612000,-0.00080
-0.00015608000,-0.00040
-0.00015604000,-0.00080
-0.00015600000,-0.00080
-0.00015596000,-0.00040
-0.00015592000,-0.00040
-0.00015588000,-0.00080
-0.00015584000,-0.00040
-0.00015580000,-0.00040
-0.00015576000,-0.00080
-0.00015572000,-0.00080
-0.00015568000,-0.00080
-0.00015564000,-0.00040
-0.00015560000,-0.00040
-0.00015556000,-0.00040
-0.00015552000,-0.00080
-0.00015548000,0.00
-0.00015544000,0.00
-0.00015540000,-0.00040
-0.00015536000,-0.00040
-0.00015532000,-0.00040
-0.00015528000,-0.00040
-0.00015524000,-0.00080
-0.00015520000,-0.00080
-0.00015516000,-0.00040
-0.00015512000,-0.00040
-0.00015508000,-0.00040
-0.00015504000,-0.00080
-0.00015500000,-0.00040
-0.00015496000,-0.00040
-0.00015492000,-0.00040
-0.00015487998,-0.00040
-0.00015484000,0.00
-0.00015480000,-0.00080
-0.00015476000,-0.00040
-0.00015472000,-0.00080
-0.00015468000,-0.00040
-0.00015464000,-0.00040
-0.00015460000,-0.00080
-0.00015456000,-0.00080
-0.00015451998,-0.00120
-0.00015448000,-0.00080
-0.00015444000,-0.00040
-0.00015440000,-0.00040
-0.00015436000,-0.00080
-0.00015432000,-0.00080
-0.00015428000,-0.00040
-0.00015424000,-0.00080
-0.00015420000,-0.00080
-0.00015416000,-0.00040
-0.00015412000,-0.00080
-0.00015408000,-0.00080
-0.00015404000,-0.00040
-0.00015400000,-0.00080
-0.00015396000,-0.00120
-0.00015392000,-0.00080
-0.00015388000,-0.00080
-0.00015384000,-0.00120
-0.00015380000,-0.00040
-0.00015376000,-0.00080
-0.00015372000,-0.00080
-0.00015368000,-0.00080
-0.00015364000,-0.00080
-0.00015360000,-0.00040
-0.00015356000,-0.00080
-0.00015352000,-0.00040
-0.00015348000,-0.00040
-0.00015344000,-0.00040
-0.00015340000,-0.00040
-0.00015336000,-0.00080
-0.00015332000,-0.00040
-0.00015328000,-0.00040
-0.00015324000,-0.00040
-0.00015320000,-0.00040
-0.00015316000,-0.00040
-0.00015312000,0.00
-0.00015308000,0.00
-0.00015304000,-0.00040
-0.00015300000,-0.00040
-0.00015296000,-0.00040
-0.00015292000,0.00
-0.00015288000,-0.00040
-0.00015284000,-0.00040
-0.00015280000,-0.00080
-0.00015276000,-0.00040
-0.00015272000,-0.00080
-0.00015268000,-0.00040
-0.00015264000,-0.00040
-0.00015260000,-0.00040
-0.00015256000,-0.00040
-0.00015252000,0.00
-0.00015248000,0.00
-0.00015244000,-0.00040
-0.00015240000,0.00
-0.00015236000,-0.00040
-0.00015232000,0.00
-0.00015228000,-0.00040
-0.00015224000,0.00040
-0.00015220000,-0.00040
-0.00015216000,0.00
-0.00015212000,-0.00040
-0.00015208000,0.00
-0.00015204000,0.00
-0.00015200000,0.00
-0.00015196000,-0.00040
-0.00015192000,0.00
-0.00015188000,0.00040
-0.00015184000,0.00
-0.00015180000,-0.00040
-0.00015176000,0.00040
-0.00015172000,0.00
-0.00015168000,-0.00040
-0.00015164000,0.00
-0.00015160000,0.00
-0.00015156000,-0.00040
-0.00015152000,-0.00080
-0.00015148000,-0.00040
-0.00015143998,-0.00040
-0.00015140000,-0.00040
-0.00015136000,-0.00040
-0.00015132000,-0.00080
-0.00015128000,-0.00080
-0.00015124000,-0.00080
-0.00015120000,-0.00080
-0.00015116000,-0.00120
-0.00015112000,-0.00080
-0.00015107998,-0.00080
-0.00015104000,-0.00080
-0.00015100000,-0.00080
-0.00015096000,-0.00120
-0.00015092000,-0.00080
-0.00015088000,-0.00120
-0.00015084000,-0.00120
-0.00015080000,-0.00120
-0.00015076000,-0.00120
-0.00015072000,-0.00080
-0.00015068000,-0.00080
-0.00015064000,-0.00080
-0.00015060000,-0.00080
-0.00015056000,-0.00120
-0.00015052000,-0.00120
-0.00015048000,-0.00040
-0.00015044000,0.00
-0.00015040000,0.00
-0.00015036000,0.00
-0.00015032000,0.00040
